pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob,capital_required,total_cost,expected_profit,net_profit,roi_percent,economically_viable,profit_breakdown
100000,0.005,Normal,Fast,0.1064797578564006,45.0,45.45,191.50384450473646,146.05384450473645,324.5640988994143,True,"{'flash_arbitrage': 3.726791524974021, 'options_profit': 13.309969732050074, 'leveraged_short': 3.9929909196150226, 'cross_platform_arb': 63.88785471384036, 'mev_extraction': 0.1064797578564006, 'lp_manipulation': 106.4797578564006}"
100000,0.005,Normal,Moderate,0.1264090055103545,45.0,45.45,227.34659641037257,181.89659641037258,404.2146586897169,True,"{'flash_arbitrage': 4.424315192862408, 'options_profit': 15.801125688794313, 'leveraged_short': 4.740337706638294, 'cross_platform_arb': 75.8454033062127, 'mev_extraction': 0.1264090055103545, 'lp_manipulation': 126.4090055103545}"
100000,0.005,Normal,Slow,0.1597417378547351,45.0,45.45,287.2955155317411,241.8455155317411,537.4344789594247,True,"{'flash_arbitrage': 5.5909608249157285, 'options_profit': 19.96771723184189, 'leveraged_short': 5.9903151695525665, 'cross_platform_arb': 95.84504271284106, 'mev_extraction': 0.1597417378547351, 'lp_manipulation': 159.7417378547351}"
100000,0.005,Panic,Fast,0.0977144235108456,45.0,45.45,175.7393906842558,130.2893906842558,289.53197929834624,True,"{'flash_arbitrage': 3.420004822879596, 'options_profit': 12.214302938855699, 'leveraged_short': 3.6642908816567097, 'cross_platform_arb': 58.628654106507355, 'mev_extraction': 0.0977144235108456, 'lp_manipulation': 97.71442351084559}"
100000,0.005,Panic,Moderate,0.0,45.0,45.45,0.0,-45.45,-101.0,False,{}
100000,0.005,Panic,Slow,0.1359545999317271,45.0,45.45,244.5143479772112,199.06434797721118,442.365217727136,True,"{'flash_arbitrage': 4.758410997610448, 'options_profit': 16.994324991465888, 'leveraged_short': 5.098297497439766, 'cross_platform_arb': 81.57275995903626, 'mev_extraction': 0.1359545999317271, 'lp_manipulation': 135.9545999317271}"
100000,0.01,Normal,Fast,0.0,90.0,90.9,0.0,-90.9,-101.0,False,{}
100000,0.01,Normal,Moderate,0.1127170413829299,90.0,90.9,225.09593164171102,134.195931641711,149.10659071301225,True,"{'flash_arbitrage': 7.890192896805093, 'options_profit': 28.179260345732477, 'leveraged_short': 8.453778103719742, 'cross_platform_arb': 67.63022482975794, 'mev_extraction': 0.2254340827658598, 'lp_manipulation': 112.7170413829299}"
100000,0.01,Normal,Slow,0.186912217644749,90.0,90.9,373.26369863656373,282.36369863656375,313.7374429295153,True,"{'flash_arbitrage': 13.083855235132429, 'options_profit': 46.72805441118725, 'leveraged_short': 14.018416323356174, 'cross_platform_arb': 112.14733058684939, 'mev_extraction': 0.373824435289498, 'lp_manipulation': 186.912217644749}"
100000,0.01,Panic,Fast,0.0,90.0,90.9,0.0,-90.9,-101.0,False,{}
100000,0.01,Panic,Moderate,0.1336576549554427,90.0,90.9,266.9143369460191,176.01433694601909,195.57148549557678,True,"{'flash_arbitrage': 9.35603584688099, 'options_profit': 33.41441373886068, 'leveraged_short': 10.024324121658204, 'cross_platform_arb': 80.19459297326563, 'mev_extraction': 0.2673153099108854, 'lp_manipulation': 133.65765495544272}"
100000,0.01,Panic,Slow,0.0334737109925448,90.0,90.9,66.84700085211196,-24.052999147888045,-26.725554608764497,False,"{'flash_arbitrage': 2.343159769478136, 'options_profit': 8.3684277481362, 'leveraged_short': 2.51052832444086, 'cross_platform_arb': 20.08422659552688, 'mev_extraction': 0.0669474219850896, 'lp_manipulation': 33.4737109925448}"
100000,0.025,Normal,Fast,0.0,225.0,227.25,0.0,-227.25,-101.0,False,{}
100000,0.025,Normal,Moderate,0.075543100076018,225.0,227.25,195.84548694707667,-31.404513052923335,-13.957561356854816,False,"{'flash_arbitrage': 13.22004251330315, 'options_profit': 47.21443754751125, 'leveraged_short': 14.164331264253375, 'cross_platform_arb': 45.3258600456108, 'mev_extraction': 0.37771550038009, 'lp_manipulation': 75.54310007601799}"
100000,0.025,Normal,Slow,0.0,225.0,227.25,0.0,-227.25,-101.0,False,{}
100000,0.025,Panic,Fast,0.1902777016361963,225.0,227.25,493.2949414918389,266.0449414918389,118.24219621859508,True,"{'flash_arbitrage': 33.298597786334355, 'options_profit': 118.9235635226227, 'leveraged_short': 35.677069056786806, 'cross_platform_arb': 114.16662098171778, 'mev_extraction': 0.9513885081809815, 'lp_manipulation': 190.2777016361963}"
100000,0.025,Panic,Moderate,0.2094565514962239,225.0,227.25,543.0161097539604,315.76610975396045,140.34049322398243,True,"{'flash_arbitrage': 36.65489651183918, 'options_profit': 130.91034468513993, 'leveraged_short': 39.27310340554198, 'cross_platform_arb': 125.67393089773434, 'mev_extraction': 1.0472827574811194, 'lp_manipulation': 209.45655149622388}"
100000,0.025,Panic,Slow,0.1035394983705568,225.0,227.25,268.4261495256685,41.17614952566851,18.300510900297116,True,"{'flash_arbitrage': 18.11941221484744, 'options_profit': 64.712186481598, 'leveraged_short': 19.4136559444794, 'cross_platform_arb': 62.12369902233408, 'mev_extraction': 0.517697491852784, 'lp_manipulation': 103.5394983705568}"
100000,0.05,Normal,Fast,0.241345932033952,450.0,454.5,865.2251663417179,410.7251663417179,91.27225918704842,True,"{'flash_arbitrage': 84.4710762118832, 'options_profit': 301.68241504243997, 'leveraged_short': 90.504724512732, 'cross_platform_arb': 144.8075592203712, 'mev_extraction': 2.41345932033952, 'lp_manipulation': 241.34593203395198}"
100000,0.05,Normal,Moderate,0.0420569451842317,450.0,454.5,150.77414848547065,-303.7258515145294,-67.49463366989542,False,"{'flash_arbitrage': 14.719930814481094, 'options_profit': 52.571181480289624, 'leveraged_short': 15.771354444086887, 'cross_platform_arb': 25.23416711053902, 'mev_extraction': 0.420569451842317, 'lp_manipulation': 42.0569451842317}"
100000,0.05,Normal,Slow,0.1461415076089553,450.0,454.5,523.9173047781048,69.41730477810484,15.426067728467741,True,"{'flash_arbitrage': 51.14952766313436, 'options_profit': 182.67688451119415, 'leveraged_short': 54.80306535335824, 'cross_platform_arb': 87.68490456537319, 'mev_extraction': 1.461415076089553, 'lp_manipulation': 146.1415076089553}"
100000,0.05,Panic,Fast,0.1488688316588071,450.0,454.5,533.6947614968235,79.1947614968235,17.598835888183,True,"{'flash_arbitrage': 52.104091080582485, 'options_profit': 186.08603957350888, 'leveraged_short': 55.82581187205266, 'cross_platform_arb': 89.32129899528427, 'mev_extraction': 1.488688316588071, 'lp_manipulation': 148.8688316588071}"
100000,0.05,Panic,Moderate,0.0,450.0,454.5,0.0,-454.5,-101.0,False,{}
100000,0.05,Panic,Slow,0.0593398796973801,450.0,454.5,212.73346871510768,-241.76653128489232,-53.72589584108718,False,"{'flash_arbitrage': 20.768957894083037, 'options_profit': 74.17484962172513, 'leveraged_short': 22.25245488651754, 'cross_platform_arb': 35.60392781842806, 'mev_extraction': 0.593398796973801, 'lp_manipulation': 59.339879697380105}"
100000,0.1,Normal,Fast,0.0,900.0,909.0,0.0,-909.0,-101.0,False,{}
100000,0.1,Normal,Moderate,0.1695431365117775,900.0,909.0,944.3552703706007,35.35527037060069,3.928363374511188,True,"{'flash_arbitrage': 118.68019555824425, 'options_profit': 423.85784127944373, 'leveraged_short': 127.15735238383311, 'cross_platform_arb': 101.7258819070665, 'mev_extraction': 3.3908627302355496, 'lp_manipulation': 169.5431365117775}"
100000,0.1,Normal,Slow,0.2776883295202727,900.0,909.0,1546.7239954279191,637.7239954279191,70.85822171421323,True,"{'flash_arbitrage': 194.38183066419091, 'options_profit': 694.2208238006818, 'leveraged_short': 208.26624714020454, 'cross_platform_arb': 166.61299771216363, 'mev_extraction': 5.553766590405455, 'lp_manipulation': 277.6883295202727}"
100000,0.1,Panic,Fast,0.1373582226077989,900.0,909.0,765.0852999254398,-143.9147000745602,-15.990522230506688,False,"{'flash_arbitrage': 96.15075582545923, 'options_profit': 343.39555651949723, 'leveraged_short': 103.01866695584917, 'cross_platform_arb': 82.41493356467934, 'mev_extraction': 2.747164452155978, 'lp_manipulation': 137.3582226077989}"
100000,0.1,Panic,Moderate,0.3265234134933018,900.0,909.0,1818.7354131576908,909.7354131576908,101.08171257307677,True,"{'flash_arbitrage': 228.56638944531124, 'options_profit': 816.3085337332544, 'leveraged_short': 244.89256011997634, 'cross_platform_arb': 195.91404809598106, 'mev_extraction': 6.530468269866035, 'lp_manipulation': 326.52341349330175}"
100000,0.1,Panic,Slow,0.2543947548256035,900.0,909.0,1416.9787843786114,507.9787843786114,56.442087153179045,True,"{'flash_arbitrage': 178.07632837792244, 'options_profit': 635.9868870640087, 'leveraged_short': 190.7960661192026, 'cross_platform_arb': 152.6368528953621, 'mev_extraction': 5.087895096512069, 'lp_manipulation': 254.39475482560348}"
1000000,0.005,Normal,Fast,0.0456760147146268,450.0,454.5,821.4831246425631,366.9831246425631,81.55180547612512,True,"{'flash_arbitrage': 15.98660515011938, 'options_profit': 57.0950183932835, 'leveraged_short': 17.12850551798505, 'cross_platform_arb': 274.0560882877608, 'mev_extraction': 0.456760147146268, 'lp_manipulation': 456.760147146268}"
1000000,0.005,Normal,Moderate,0.0932534177333463,450.0,454.5,1677.1627179342333,1222.6627179342333,271.7028262076074,True,"{'flash_arbitrage': 32.638696206671206, 'options_profit': 116.56677216668288, 'leveraged_short': 34.97003165000486, 'cross_platform_arb': 559.5205064000778, 'mev_extraction': 0.932534177333463, 'lp_manipulation': 932.534177333463}"
1000000,0.005,Normal,Slow,0.0948179354495936,450.0,454.5,1705.300569060941,1250.800569060941,277.95568201354246,True,"{'flash_arbitrage': 33.186277407357764, 'options_profit': 118.52241931199201, 'leveraged_short': 35.5567257935976, 'cross_platform_arb': 568.9076126975616, 'mev_extraction': 0.948179354495936, 'lp_manipulation': 948.1793544959361}"
1000000,0.005,Panic,Fast,0.0639829996458524,450.0,454.5,1150.7342486306554,696.2342486306554,154.71872191792343,True,"{'flash_arbitrage': 22.39404987604834, 'options_profit': 79.9787495573155, 'leveraged_short': 23.99362486719465, 'cross_platform_arb': 383.8979978751144, 'mev_extraction': 0.639829996458524, 'lp_manipulation': 639.829996458524}"
1000000,0.005,Panic,Moderate,0.1455731866077263,450.0,454.5,2618.1337611399576,2163.6337611399576,480.80750247554613,True,"{'flash_arbitrage': 50.95061531270421, 'options_profit': 181.96648325965788, 'leveraged_short': 54.58994497789737, 'cross_platform_arb': 873.4391196463579, 'mev_extraction': 1.4557318660772631, 'lp_manipulation': 1455.731866077263}"
1000000,0.005,Panic,Slow,0.0,450.0,454.5,0.0,-454.5,-101.0,False,{}
1000000,0.01,Normal,Fast,0.0,900.0,909.0,0.0,-909.0,-101.0,False,{}
1000000,0.01,Normal,Moderate,0.0228572636738893,900.0,909.0,456.45955556756934,-452.54044443243066,-50.28227160360341,False,"{'flash_arbitrage': 16.00008457172251, 'options_profit': 57.14315918472325, 'leveraged_short': 17.142947755416976, 'cross_platform_arb': 137.1435820433358, 'mev_extraction': 0.457145273477786, 'lp_manipulation': 228.572636738893}"
1000000,0.01,Normal,Slow,0.0,900.0,909.0,0.0,-909.0,-101.0,False,{}
1000000,0.01,Panic,Fast,0.1019591311512533,900.0,909.0,2036.1238490905282,1127.1238490905282,125.23598323228092,True,"{'flash_arbitrage': 71.37139180587731, 'options_profit': 254.89782787813323, 'leveraged_short': 76.46934836343998, 'cross_platform_arb': 611.7547869075198, 'mev_extraction': 2.039182623025066, 'lp_manipulation': 1019.5913115125329}"
1000000,0.01,Panic,Moderate,0.0,900.0,909.0,0.0,-909.0,-101.0,False,{}
1000000,0.01,Panic,Slow,0.2276800216036595,900.0,909.0,4546.770031425081,3637.7700314250806,404.1966701583423,True,"{'flash_arbitrage': 159.37601512256165, 'options_profit': 569.2000540091487, 'leveraged_short': 170.76001620274462, 'cross_platform_arb': 1366.080129621957, 'mev_extraction': 4.55360043207319, 'lp_manipulation': 2276.800216036595}"
1000000,0.025,Normal,Fast,0.0,2250.0,2272.5,0.0,-2272.5,-101.0,False,{}
1000000,0.025,Normal,Moderate,0.1234787492840872,2250.0,2272.5,3201.1865751899604,928.6865751899604,41.27495889733158,True,"{'flash_arbitrage': 216.0878112471526, 'options_profit': 771.7421830255449, 'leveraged_short': 231.5226549076635, 'cross_platform_arb': 740.8724957045232, 'mev_extraction': 6.17393746420436, 'lp_manipulation': 1234.787492840872}"
1000000,0.025,Normal,Slow,0.0,2250.0,2272.5,0.0,-2272.5,-101.0,False,{}
1000000,0.025,Panic,Fast,0.0741020383354538,2250.0,2272.5,1921.0953438466397,-351.4046561533603,-15.617984717927126,False,"{'flash_arbitrage': 129.67856708704414, 'options_profit': 463.13773959658624, 'leveraged_short': 138.94132187897588, 'cross_platform_arb': 444.6122300127228, 'mev_extraction': 3.7051019167726897, 'lp_manipulation': 741.020383354538}"
1000000,0.025,Panic,Moderate,0.0040377531043753,2250.0,2272.5,104.67874923092965,-2167.8212507690705,-96.34761114529202,False,"{'flash_arbitrage': 7.066067932656775, 'options_profit': 25.235956902345624, 'leveraged_short': 7.5707870707036875, 'cross_platform_arb': 24.2265186262518, 'mev_extraction': 0.201887655218765, 'lp_manipulation': 40.377531043753}"
1000000,0.025,Panic,Slow,0.0,2250.0,2272.5,0.0,-2272.5,-101.0,False,{}
1000000,0.05,Normal,Fast,0.0,4500.0,4545.0,0.0,-4545.0,-101.0,False,{}
1000000,0.05,Normal,Moderate,0.0759145609978285,4500.0,4545.0,2721.537011772152,-1823.4629882278482,-40.521399738396624,False,"{'flash_arbitrage': 265.70096349239975, 'options_profit': 948.9320124728563, 'leveraged_short': 284.6796037418569, 'cross_platform_arb': 455.48736598697104, 'mev_extraction': 7.59145609978285, 'lp_manipulation': 759.145609978285}"
1000000,0.05,Normal,Slow,0.2971638943029949,4500.0,4545.0,10653.325610762367,6108.325610762367,135.7405691280526,True,"{'flash_arbitrage': 1040.0736300604822, 'options_profit': 3714.548678787436, 'leveraged_short': 1114.3646036362309, 'cross_platform_arb': 1782.9833658179693, 'mev_extraction': 29.71638943029949, 'lp_manipulation': 2971.638943029949}"
1000000,0.05,Panic,Fast,0.0483118823284485,4500.0,4545.0,1731.9809814748787,-2813.0190185251213,-62.51153374500269,False,"{'flash_arbitrage': 169.09158814956973, 'options_profit': 603.8985291056063, 'leveraged_short': 181.16955873168186, 'cross_platform_arb': 289.871293970691, 'mev_extraction': 4.83118823284485, 'lp_manipulation': 483.11882328448496}"
1000000,0.05,Panic,Moderate,0.3733675108713412,4500.0,4545.0,13385.22526473758,8840.22526473758,196.44945032750178,True,"{'flash_arbitrage': 1306.7862880496941, 'options_profit': 4667.093885891764, 'leveraged_short': 1400.1281657675295, 'cross_platform_arb': 2240.2050652280473, 'mev_extraction': 37.33675108713412, 'lp_manipulation': 3733.6751087134116}"
1000000,0.05,Panic,Slow,0.2283223647855606,4500.0,4545.0,8185.356777562348,3640.356777562348,80.89681727916329,True,"{'flash_arbitrage': 799.1282767494621, 'options_profit': 2854.0295598195075, 'leveraged_short': 856.2088679458523, 'cross_platform_arb': 1369.9341887133635, 'mev_extraction': 22.83223647855606, 'lp_manipulation': 2283.223647855606}"
1000000,0.1,Normal,Fast,0.0956813568590443,9000.0,9090.0,5329.451577048768,-3760.548422951232,-41.7838713661248,False,"{'flash_arbitrage': 669.7694980133101, 'options_profit': 2392.0339214761075, 'leveraged_short': 717.6101764428323, 'cross_platform_arb': 574.0881411542658, 'mev_extraction': 19.13627137180886, 'lp_manipulation': 956.8135685904431}"
1000000,0.1,Normal,Moderate,0.4127318329504528,9000.0,9090.0,22989.16309534022,13899.16309534022,154.4351455037802,True,"{'flash_arbitrage': 2889.1228306531693, 'options_profit': 10318.29582376132, 'leveraged_short': 3095.488747128396, 'cross_platform_arb': 2476.390997702717, 'mev_extraction': 82.54636659009056, 'lp_manipulation': 4127.318329504528}"
1000000,0.1,Normal,Slow,0.1690805538115091,9000.0,9090.0,9417.786847301057,327.7868473010567,3.642076081122852,True,"{'flash_arbitrage': 1183.5638766805637, 'options_profit': 4227.013845287727, 'leveraged_short': 1268.1041535863183, 'cross_platform_arb': 1014.4833228690546, 'mev_extraction': 33.81611076230182, 'lp_manipulation': 1690.805538115091}"
